condition,loss_pct,delay_ms,jitter_ms,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,polarization_fidelity,attenuation_db_per_km,distance_km,run,note,source_file,lhs_point_id,detector_efficiency,dark_count_rate,alice_delay_ms,bob_delay_ms
jitter_10ms,,50.0,10.0,0.1111111111111111,3877.0,0.0,0.0,53.77936005592346,0.0,,,,2.0,,joint_fault_jitter_check.csv,,,,,
jitter_30ms,,50.0,30.0,0.0911458333333333,3841.0,412.0,0.0412,51.94378995895386,7.931650738722832,,,,1.0,,joint_fault_jitter_check.csv,,,,,
jitter_30ms,,50.0,30.0,0.0694087403598971,3896.0,955.0,0.0955,52.79962182044983,18.0872507619007,,,,2.0,,joint_fault_jitter_check.csv,,,,,
jitter_50ms,,50.0,50.0,0.125,3841.0,0.0,0.0,51.74508619308472,0.0,,,,1.0,,joint_fault_jitter_check.csv,,,,,
jitter_50ms,,50.0,50.0,0.0989583333333333,3841.0,237.0,0.0237,52.8693630695343,4.482747403033687,,,,2.0,,joint_fault_jitter_check.csv,,,,,
jitter_10ms,,50.0,10.0,0.1147959183673469,3927.0,0.0,0.0,52.87754535675049,0.0,,,,1.0,,joint_fault_jitter_check.csv,,,,,
jitter_10ms,,50.0,10.0,0.1012987012987013,3850.0,186.0,0.0186,52.981372594833374,3.510667823244321,,,,2.0,,joint_fault_jitter_check.csv,,,,,
jitter_30ms,,50.0,30.0,0.1307692307692307,3906.0,0.0,0.0,53.34251046180725,0.0,,,,1.0,,joint_fault_jitter_check.csv,,,,,
jitter_30ms,,50.0,30.0,0.0894736842105263,3809.0,447.0,0.0447,53.144421100616455,8.411042791372413,,,,2.0,,joint_fault_jitter_check.csv,,,,,
jitter_50ms,,50.0,50.0,0.1076923076923077,3903.0,49.0,0.0049,51.95274949073792,0.9431647117874996,,,,1.0,,joint_fault_jitter_check.csv,,,,,
jitter_50ms,,50.0,50.0,0.104,3757.0,124.0,0.0124,52.19940948486328,2.3755058002324216,,,,2.0,,joint_fault_jitter_check.csv,,,,,
baseline,,,,0.0026246719160104,3815.0,3253.0,0.3253,50.00877404212952,65.04858521945638,,,1.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_1pct,1.0,,,0.0157480314960629,3810.0,2627.0,0.2627,49.18100047111511,53.41493615085941,,,1.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_5pct,5.0,,,0.0106382978723404,3760.0,2808.0,0.2808,57.48357391357422,48.84873727965819,,,1.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_15pct,15.0,,,0.0102301790281329,3916.0,2944.0,0.2944,58.3728244304657,50.43442781335556,,,1.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
baseline,,,,0.0079155672823219,3798.0,2963.0,0.2963,51.4405791759491,57.600440109067485,,,1.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
