toeplitz_prob,hash_prob,reconciliation_prob,total_corrections,secure_key_length,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,keys_match,run,seed,fault_type,prob,key_index,qber
0.3,0.0,0.0,37,1869,0,False,,46.4544563293457,{'toeplitz_matrix': 1},False,1,43,toeplitz,0.3,3,0.009698558322411533
0.3,0.0,0.0,37,1869,0,False,,50.70288848876953,{'toeplitz_matrix': 1},True,2,44,toeplitz,0.3,3,0.009698558322411533
0.0,0.3,0.0,37,1869,0,False,,49.53827261924744,{},True,0,42,hash,0.3,3,0.009698558322411533
0.0,0.3,0.0,37,1869,0,False,,48.962153911590576,{},True,1,43,hash,0.3,3,0.009698558322411533
0.0,0.3,0.0,37,1869,0,False,,49.560513496398926,{'hash_output': 1},False,2,44,hash,0.3,3,0.009698558322411533
0.1,0.0,0.0,37,1869,0,False,,52.21134948730469,{},True,0,42,toeplitz,0.1,3,0.009698558322411533
0.1,0.0,0.0,37,1869,0,False,,49.27067756652832,{'toeplitz_matrix': 1},False,1,43,toeplitz,0.1,3,0.009698558322411533
0.1,0.0,0.0,37,1869,0,False,,50.74732422828674,{},True,2,44,toeplitz,0.1,3,0.009698558322411533
0.0,0.1,0.0,37,1869,0,False,,50.4384241104126,{},True,0,42,hash,0.1,3,0.009698558322411533
0.0,0.1,0.0,37,1869,0,False,,48.30081653594971,{},True,1,43,hash,0.1,3,0.009698558322411533
0.0,0.1,0.0,37,1869,0,False,,48.81205105781555,{},True,2,44,hash,0.1,3,0.009698558322411533
0.05,0.0,0.0,37,1869,0,False,,48.07604455947876,{},True,0,42,toeplitz,0.05,3,0.009698558322411533
0.05,0.0,0.0,37,1869,0,False,,50.36950182914734,{'toeplitz_matrix': 1},False,1,43,toeplitz,0.05,3,0.009698558322411533
0.05,0.0,0.0,37,1869,0,False,,48.995983600616455,{},True,2,44,toeplitz,0.05,3,0.009698558322411533
0.0,0.05,0.0,37,1869,0,False,,49.882004499435425,{},True,0,42,hash,0.05,3,0.009698558322411533
0.0,0.05,0.0,37,1869,0,False,,47.69403004646301,{},True,1,43,hash,0.05,3,0.009698558322411533
0.0,0.05,0.0,37,1869,0,False,,50.94718360900879,{},True,2,44,hash,0.05,3,0.009698558322411533
0.01,0.0,0.0,37,1869,0,False,,49.94416069984436,{},True,0,42,toeplitz,0.01,3,0.009698558322411533
0.01,0.0,0.0,37,1869,0,False,,47.536837577819824,{},True,1,43,toeplitz,0.01,3,0.009698558322411533
0.01,0.0,0.0,37,1869,0,False,,48.81265068054199,{},True,2,44,toeplitz,0.01,3,0.009698558322411533
0.0,0.01,0.0,37,1869,0,False,,52.971593379974365,{},True,0,42,hash,0.01,3,0.009698558322411533
0.0,0.01,0.0,37,1869,0,False,,50.672640562057495,{},True,1,43,hash,0.01,3,0.009698558322411533
0.0,0.01,0.0,37,1869,0,False,,50.559335708618164,{},True,2,44,hash,0.01,3,0.009698558322411533
0.5,0.0,0.0,41,1907,0,False,,52.561988830566406,{'toeplitz_matrix': 1},True,0,42,toeplitz,0.5,4,0.010539845758354757
0.5,0.0,0.0,41,1907,0,False,,56.58944392204285,{},True,1,43,toeplitz,0.5,4,0.010539845758354757
0.5,0.0,0.0,41,1907,0,False,,50.26941990852356,{'toeplitz_matrix': 1},True,2,44,toeplitz,0.5,4,0.010539845758354757
0.0,0.5,0.0,41,1907,0,False,,57.70805549621582,{},True,0,42,hash,0.5,4,0.010539845758354757
0.0,0.5,0.0,41,1907,0,False,,52.64010000228882,{'hash_output': 1},False,1,43,hash,0.5,4,0.010539845758354757
0.0,0.5,0.0,41,1907,0,False,,53.20856809616089,{'hash_output': 1},False,2,44,hash,0.5,4,0.010539845758354757
0.3,0.0,0.0,41,1907,0,False,,50.81170177459717,{},True,0,42,toeplitz,0.3,4,0.010539845758354757
0.3,0.0,0.0,41,1907,0,False,,49.88055372238159,{},True,1,43,toeplitz,0.3,4,0.010539845758354757
0.3,0.0,0.0,41,1907,0,False,,52.954432249069214,{'toeplitz_matrix': 1},True,2,44,toeplitz,0.3,4,0.010539845758354757
0.0,0.3,0.0,41,1907,0,False,,50.556660413742065,{},True,0,42,hash,0.3,4,0.010539845758354757
0.0,0.3,0.0,41,1907,0,False,,49.855862855911255,{},True,1,43,hash,0.3,4,0.010539845758354757
0.0,0.3,0.0,41,1907,0,False,,51.254427671432495,{},True,2,44,hash,0.3,4,0.010539845758354757
0.1,0.0,0.0,41,1907,0,False,,50.72978115081787,{},True,0,42,toeplitz,0.1,4,0.010539845758354757
0.1,0.0,0.0,41,1907,0,False,,50.348509550094604,{},True,1,43,toeplitz,0.1,4,0.010539845758354757
0.1,0.0,0.0,41,1907,0,False,,51.45691800117493,{},True,2,44,toeplitz,0.1,4,0.010539845758354757
0.0,0.1,0.0,41,1907,0,False,,52.7621750831604,{},True,0,42,hash,0.1,4,0.010539845758354757
0.0,0.1,0.0,41,1907,0,False,,51.67314958572388,{},True,1,43,hash,0.1,4,0.010539845758354757
0.0,0.1,0.0,41,1907,0,False,,51.55296778678894,{},True,2,44,hash,0.1,4,0.010539845758354757
0.05,0.0,0.0,41,1907,0,False,,50.76710391044617,{},True,0,42,toeplitz,0.05,4,0.010539845758354757
0.05,0.0,0.0,41,1907,0,False,,50.508912324905396,{},True,1,43,toeplitz,0.05,4,0.010539845758354757
0.05,0.0,0.0,41,1907,0,False,,51.72566747665405,{},True,2,44,toeplitz,0.05,4,0.010539845758354757
0.0,0.05,0.0,41,1907,0,False,,52.84529137611389,{},True,0,42,hash,0.05,4,0.010539845758354757
0.0,0.05,0.0,41,1907,0,False,,51.83263444900513,{},True,1,43,hash,0.05,4,0.010539845758354757
0.0,0.05,0.0,41,1907,0,False,,53.172255516052246,{},True,2,44,hash,0.05,4,0.010539845758354757
0.01,0.0,0.0,41,1907,0,False,,51.0921151638031,{},True,0,42,toeplitz,0.01,4,0.010539845758354757
0.01,0.0,0.0,41,1907,0,False,,52.791306257247925,{},True,1,43,toeplitz,0.01,4,0.010539845758354757
0.01,0.0,0.0,41,1907,0,False,,50.88576078414917,{},True,2,44,toeplitz,0.01,4,0.010539845758354757
0.0,0.01,0.0,41,1907,0,False,,51.54974842071533,{},True,0,42,hash,0.01,4,0.010539845758354757
0.0,0.01,0.0,41,1907,0,False,,51.45024871826172,{},True,1,43,hash,0.01,4,0.010539845758354757
0.0,0.01,0.0,41,1907,0,False,,53.53203749656677,{},True,2,44,hash,0.01,4,0.010539845758354757
