toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,length_mode,key_index,qber,mismatch
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0236883163452148,{},False,,key0_asymptotic_toeplitz_0.01,19,toeplitz,0.01,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0220289230346679,{},False,,key0_asymptotic_toeplitz_0.003,0,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0229737758636474,{},False,,key0_asymptotic_toeplitz_0.003,1,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021458625793457,{},False,,key0_asymptotic_toeplitz_0.003,2,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0259833335876464,{},False,,key0_asymptotic_toeplitz_0.003,3,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0420899391174316,{},False,,key0_asymptotic_toeplitz_0.003,4,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0282659530639648,{},False,,key0_asymptotic_toeplitz_0.003,5,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0232608318328857,{},False,,key0_asymptotic_toeplitz_0.003,6,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0222549438476562,{},False,,key0_asymptotic_toeplitz_0.003,7,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0209941864013671,{},False,,key0_asymptotic_toeplitz_0.003,8,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0227460861206054,{},False,,key0_asymptotic_toeplitz_0.003,9,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0221362113952636,{},False,,key0_asymptotic_toeplitz_0.003,10,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0216608047485351,{},False,,key0_asymptotic_toeplitz_0.003,11,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0218353271484375,{},False,,key0_asymptotic_toeplitz_0.003,12,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021014928817749,{},False,,key0_asymptotic_toeplitz_0.003,13,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0286281108856201,{},False,,key0_asymptotic_toeplitz_0.003,14,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0448443889617919,{},False,,key0_asymptotic_toeplitz_0.003,15,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0471177101135253,{},False,,key0_asymptotic_toeplitz_0.003,16,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0481960773468017,{},False,,key0_asymptotic_toeplitz_0.003,17,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0471580028533935,{},False,,key0_asymptotic_toeplitz_0.003,18,toeplitz,0.003,asymptotic,0,0.0128205128205128,False
