toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,length_mode,key_index,qber
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022230148315429688,{},False,,key0_asymptotic_toeplitz_0.03,9,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021857023239135742,{},False,,key0_asymptotic_toeplitz_0.03,10,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.026240110397338867,{},False,,key0_asymptotic_toeplitz_0.03,11,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0231170654296875,{},False,,key0_asymptotic_toeplitz_0.03,12,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.026153564453125,{},False,,key0_asymptotic_toeplitz_0.03,13,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.025005102157592773,{},False,,key0_asymptotic_toeplitz_0.03,14,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02258610725402832,{},False,,key0_asymptotic_toeplitz_0.03,15,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021224021911621094,{},False,,key0_asymptotic_toeplitz_0.03,16,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022066831588745117,{},False,,key0_asymptotic_toeplitz_0.03,17,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021795034408569336,{},False,,key0_asymptotic_toeplitz_0.03,18,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.03,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021817922592163086,{},False,,key0_asymptotic_toeplitz_0.03,19,toeplitz,0.03,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022424936294555664,{},False,,key0_asymptotic_toeplitz_0.01,0,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022238731384277344,{},False,,key0_asymptotic_toeplitz_0.01,1,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022740602493286133,{},False,,key0_asymptotic_toeplitz_0.01,2,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021320343017578125,{},False,,key0_asymptotic_toeplitz_0.01,3,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022247791290283203,{},False,,key0_asymptotic_toeplitz_0.01,4,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02356886863708496,{},False,,key0_asymptotic_toeplitz_0.01,5,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02625894546508789,{},False,,key0_asymptotic_toeplitz_0.01,6,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022029638290405273,{},False,,key0_asymptotic_toeplitz_0.01,7,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.024550676345825195,{},False,,key0_asymptotic_toeplitz_0.01,8,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.023563623428344727,{},False,,key0_asymptotic_toeplitz_0.01,9,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022847652435302734,{},False,,key0_asymptotic_toeplitz_0.01,10,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02214837074279785,{},False,,key0_asymptotic_toeplitz_0.01,11,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.023193359375,{},False,,key0_asymptotic_toeplitz_0.01,12,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021404027938842773,{},False,,key0_asymptotic_toeplitz_0.01,13,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021903038024902344,{},False,,key0_asymptotic_toeplitz_0.01,14,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021910429000854492,{},False,,key0_asymptotic_toeplitz_0.01,15,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022071361541748047,{},False,,key0_asymptotic_toeplitz_0.01,16,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022475719451904297,{},False,,key0_asymptotic_toeplitz_0.01,17,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0256197452545166,{},False,,key0_asymptotic_toeplitz_0.01,18,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.01,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.023688316345214844,{},False,,key0_asymptotic_toeplitz_0.01,19,toeplitz,0.01,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02202892303466797,{},False,,key0_asymptotic_toeplitz_0.003,0,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02297377586364746,{},False,,key0_asymptotic_toeplitz_0.003,1,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02145862579345703,{},False,,key0_asymptotic_toeplitz_0.003,2,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.025983333587646484,{},False,,key0_asymptotic_toeplitz_0.003,3,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.04208993911743164,{},False,,key0_asymptotic_toeplitz_0.003,4,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.028265953063964844,{},False,,key0_asymptotic_toeplitz_0.003,5,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.023260831832885742,{},False,,key0_asymptotic_toeplitz_0.003,6,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02225494384765625,{},False,,key0_asymptotic_toeplitz_0.003,7,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.020994186401367188,{},False,,key0_asymptotic_toeplitz_0.003,8,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02274608612060547,{},False,,key0_asymptotic_toeplitz_0.003,9,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022136211395263672,{},False,,key0_asymptotic_toeplitz_0.003,10,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021660804748535156,{},False,,key0_asymptotic_toeplitz_0.003,11,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0218353271484375,{},False,,key0_asymptotic_toeplitz_0.003,12,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021014928817749023,{},False,,key0_asymptotic_toeplitz_0.003,13,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.028628110885620117,{},False,,key0_asymptotic_toeplitz_0.003,14,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.04484438896179199,{},False,,key0_asymptotic_toeplitz_0.003,15,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.04711771011352539,{},False,,key0_asymptotic_toeplitz_0.003,16,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.04819607734680176,{},False,,key0_asymptotic_toeplitz_0.003,17,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.047158002853393555,{},False,,key0_asymptotic_toeplitz_0.003,18,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.003,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.03096485137939453,{},False,,key0_asymptotic_toeplitz_0.003,19,toeplitz,0.003,asymptotic,0,0.0128205128205128
0.001,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022815704345703125,{},False,,key0_asymptotic_toeplitz_0.001,0,toeplitz,0.001,asymptotic,0,0.0128205128205128
0.001,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.023009538650512695,{},False,,key0_asymptotic_toeplitz_0.001,1,toeplitz,0.001,asymptotic,0,0.0128205128205128
