toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,key_index,qber
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02134537696838379,{},False,,key0_toeplitz_0.1,14,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.022077560424804688,{},False,,key0_toeplitz_0.1,15,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.0220186710357666,{},False,,key0_toeplitz_0.1,16,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.025575876235961914,{},False,,key0_toeplitz_0.1,17,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02022242546081543,{},False,,key0_toeplitz_0.1,18,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02188706398010254,{},False,,key0_toeplitz_0.1,19,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.0228121280670166,{},False,,key0_toeplitz_0.1,20,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.022546052932739258,{},False,,key0_toeplitz_0.1,21,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.024235248565673828,{},False,,key0_toeplitz_0.1,22,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02112126350402832,{},False,,key0_toeplitz_0.1,23,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.023044109344482422,{},False,,key0_toeplitz_0.1,24,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.03013014793395996,{},False,,key0_toeplitz_0.1,25,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.025683164596557617,{},False,,key0_toeplitz_0.1,26,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.022349834442138672,{},False,,key0_toeplitz_0.1,27,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,False,1,0.02187633514404297,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.1,28,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02221393585205078,{},False,,key0_toeplitz_0.1,29,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.024699687957763672,{},False,,key0_toeplitz_0.1,30,toeplitz,0.1,0,0.01282051282051282
