axis,value,condition,run,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,success,fail_reason
attenuation_db_per_km,0.1,attenuation_db_per_km_0.1,3,0.015957446808510637,3765,2588,0.2588,48.83264374732971,52.99733541748942,True,
attenuation_db_per_km,0.1,attenuation_db_per_km_0.1,4,0.023746701846965697,3792,2307,0.2307,49.73510479927063,46.38574723650391,True,
attenuation_db_per_km,0.1,attenuation_db_per_km_0.1,5,0.010471204188481676,3821,2861,0.2861,50.37185311317444,56.79759276618163,True,
attenuation_db_per_km,0.2,attenuation_db_per_km_0.2,1,0.01038961038961039,3850,2887,0.2887,49.15521216392517,58.73232711054716,True,
attenuation_db_per_km,0.2,attenuation_db_per_km_0.2,2,0.013404825737265416,3736,2672,0.2672,48.89336037635803,54.64954708435264,True,
attenuation_db_per_km,0.2,attenuation_db_per_km_0.2,3,0.005221932114882507,3836,3127,0.3127,48.72067189216614,64.18220189822125,True,
attenuation_db_per_km,0.2,attenuation_db_per_km_0.2,4,0.010362694300518135,3863,2898,0.2898,48.73583936691284,59.46342645670069,True,
attenuation_db_per_km,0.2,attenuation_db_per_km_0.2,5,0.015463917525773196,3881,2688,0.2688,48.91707944869995,54.95013255684948,True,
attenuation_db_per_km,0.3,attenuation_db_per_km_0.3,1,0.010498687664041995,3812,2854,0.2854,49.686219453811646,57.4404740665182,True,
attenuation_db_per_km,0.3,attenuation_db_per_km_0.3,2,0.005305039787798408,3773,3071,0.3071,49.220176219940186,62.393112659273044,True,
attenuation_db_per_km,0.3,attenuation_db_per_km_0.3,3,0.015957446808510637,3761,2585,0.2585,47.999208211898804,53.8550550373285,True,
attenuation_db_per_km,0.3,attenuation_db_per_km_0.3,4,0.0079155672823219,3790,2956,0.2956,48.87784743309021,60.47729503731774,True,
attenuation_db_per_km,0.3,attenuation_db_per_km_0.3,5,0.005263157894736842,3803,3098,0.3098,48.83051037788391,63.44394060241344,True,
attenuation_db_per_km,0.35,attenuation_db_per_km_0.35,1,0.010582010582010581,3784,2829,0.2829,48.028430461883545,58.90261190702783,True,
attenuation_db_per_km,0.35,attenuation_db_per_km_0.35,2,0.002617801047120419,3823,3260,0.326,48.94849729537964,66.60061452607083,True,
