toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,length_mode
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.028380870819091797,{},False,,asymptotic_toeplitz_0.3,31,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02903294563293457,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.3,32,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.030413389205932617,{},False,,asymptotic_toeplitz_0.3,33,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02594900131225586,{},False,,asymptotic_toeplitz_0.3,34,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.030188798904418945,{},False,,asymptotic_toeplitz_0.3,35,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.027168989181518555,{},False,,asymptotic_toeplitz_0.3,36,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02713298797607422,{},False,,asymptotic_toeplitz_0.3,37,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02857351303100586,{},False,,asymptotic_toeplitz_0.3,38,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02722001075744629,{},False,,asymptotic_toeplitz_0.3,39,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.030311107635498047,{},False,,asymptotic_toeplitz_0.3,40,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.032387733459472656,{},False,,asymptotic_toeplitz_0.3,41,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.026949644088745117,{},False,,asymptotic_toeplitz_0.3,42,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02577495574951172,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.3,43,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.026734352111816406,{},False,,asymptotic_toeplitz_0.3,44,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.026472091674804688,{},False,,asymptotic_toeplitz_0.3,45,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,False,1,0.02711319923400879,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.3,46,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.028879642486572266,{},False,,asymptotic_toeplitz_0.3,47,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.029065847396850586,{},False,,asymptotic_toeplitz_0.3,48,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.035005807876586914,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.3,49,toeplitz,0.3,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.028676509857177734,{},False,,asymptotic_toeplitz_0.1,0,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.025118589401245117,{},False,,asymptotic_toeplitz_0.1,1,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.025758028030395508,{},False,,asymptotic_toeplitz_0.1,2,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.025948286056518555,{},False,,asymptotic_toeplitz_0.1,3,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.029702425003051758,{},False,,asymptotic_toeplitz_0.1,4,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.027878522872924805,{},False,,asymptotic_toeplitz_0.1,5,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02657485008239746,{},False,,asymptotic_toeplitz_0.1,6,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.026189804077148438,{},False,,asymptotic_toeplitz_0.1,7,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02695322036743164,{},False,,asymptotic_toeplitz_0.1,8,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.025743722915649414,{},False,,asymptotic_toeplitz_0.1,9,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.03038477897644043,{},False,,asymptotic_toeplitz_0.1,10,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.025865554809570312,{},False,,asymptotic_toeplitz_0.1,11,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.027895689010620117,{},False,,asymptotic_toeplitz_0.1,12,toeplitz,0.1,asymptotic
